dataset,model_id,tasks,selected_epoch_mean,selected_epoch_median,selected_epoch_min,selected_epoch_max
Favorita,dlinear,9,33.888888888888886,28.0,19.0,50.0
Favorita,gts_native,9,34.888888888888886,35.0,13.0,50.0
Favorita,gts_no_graph,9,46.111111111111114,49.0,30.0,50.0
Favorita,gts_placebo,9,44.77777777777778,49.0,22.0,50.0
Favorita,itransformer,9,6.222222222222222,5.0,1.0,16.0
Favorita,mage_native,9,25.666666666666668,22.0,12.0,46.0
Favorita,mage_no_graph,9,27.444444444444443,29.0,16.0,44.0
Favorita,mage_placebo,9,26.11111111111111,22.0,12.0,50.0
Favorita,metadata_embedding_tcn,9,20.444444444444443,14.0,7.0,41.0
Favorita,mixlinear,9,12.333333333333334,9.0,5.0,28.0
Favorita,mtgnn_native,9,9.0,8.0,6.0,14.0
Favorita,mtgnn_no_graph,9,7.888888888888889,8.0,6.0,13.0
Favorita,mtgnn_placebo,9,10.0,8.0,6.0,24.0
Favorita,nlinear,9,39.0,48.0,13.0,49.0
Favorita,patchtst,9,11.11111111111111,14.0,1.0,21.0
Favorita,semantic_knn_tcn,9,25.333333333333332,23.0,13.0,50.0
Favorita,semantic_placebo_tcn,9,23.77777777777778,25.0,6.0,43.0
Favorita,tcn_business,9,17.88888888888889,17.0,7.0,27.0
Favorita,tcn_no_graph,9,15.88888888888889,9.0,6.0,49.0
Favorita,tcn_stat_confidence,9,30.88888888888889,29.0,12.0,49.0
Favorita,tcn_stat_equal,9,31.666666666666668,32.0,12.0,50.0
Favorita,tcn_stat_placebo,9,22.666666666666668,14.0,7.0,49.0
Favorita,tcn_target_only,9,19.444444444444443,20.0,12.0,33.0
Favorita,timemixerpp,9,21.555555555555557,25.0,7.0,37.0
M5,dlinear,9,43.333333333333336,47.0,29.0,49.0
M5,gts_native,9,13.0,6.0,1.0,35.0
M5,gts_no_graph,9,28.88888888888889,30.0,7.0,49.0
M5,gts_placebo,9,24.22222222222222,20.0,1.0,46.0
M5,itransformer,9,18.11111111111111,13.0,1.0,49.0
M5,mage_native,9,31.333333333333332,36.0,8.0,50.0
M5,mage_no_graph,9,21.88888888888889,29.0,4.0,39.0
M5,mage_placebo,9,32.0,36.0,10.0,50.0
M5,metadata_embedding_tcn,9,13.11111111111111,13.0,5.0,27.0
M5,mixlinear,9,14.11111111111111,13.0,2.0,27.0
M5,mtgnn_native,9,12.11111111111111,10.0,3.0,30.0
M5,mtgnn_no_graph,9,13.88888888888889,10.0,7.0,26.0
M5,mtgnn_placebo,9,11.222222222222221,10.0,7.0,21.0
M5,nlinear,9,44.0,48.0,14.0,50.0
M5,patchtst,9,20.77777777777778,18.0,8.0,34.0
M5,semantic_knn_tcn,9,22.555555555555557,27.0,4.0,38.0
M5,semantic_placebo_tcn,9,16.333333333333332,12.0,4.0,40.0
M5,tcn_business,9,22.333333333333332,23.0,12.0,32.0
M5,tcn_no_graph,9,28.333333333333332,29.0,5.0,50.0
M5,tcn_stat_confidence,9,30.11111111111111,26.0,11.0,48.0
M5,tcn_stat_equal,9,35.0,35.0,13.0,50.0
M5,tcn_stat_placebo,9,35.111111111111114,41.0,18.0,48.0
M5,tcn_target_only,9,29.555555555555557,30.0,1.0,48.0
M5,timemixerpp,9,26.22222222222222,26.0,18.0,38.0
Store Item,dlinear,9,23.88888888888889,25.0,7.0,41.0
Store Item,gts_native,9,43.666666666666664,50.0,26.0,50.0
Store Item,gts_no_graph,9,48.77777777777778,49.0,48.0,49.0
Store Item,gts_placebo,9,36.333333333333336,49.0,13.0,50.0
Store Item,itransformer,9,10.88888888888889,8.0,2.0,30.0
Store Item,mage_native,9,16.11111111111111,14.0,5.0,23.0
Store Item,mage_no_graph,9,14.666666666666666,14.0,7.0,23.0
Store Item,mage_placebo,9,16.11111111111111,14.0,5.0,23.0
Store Item,mixlinear,9,13.777777777777779,15.0,9.0,19.0
Store Item,mtgnn_native,9,9.777777777777779,8.0,4.0,25.0
Store Item,mtgnn_no_graph,9,12.222222222222221,8.0,4.0,25.0
Store Item,mtgnn_placebo,9,12.444444444444445,8.0,4.0,36.0
Store Item,nlinear,9,48.888888888888886,49.0,48.0,50.0
Store Item,patchtst,9,22.444444444444443,21.0,9.0,48.0
Store Item,tcn_business,9,26.333333333333332,27.0,16.0,41.0
Store Item,tcn_no_graph,9,14.11111111111111,15.0,8.0,19.0
Store Item,tcn_stat_confidence,9,43.22222222222222,47.0,10.0,50.0
Store Item,tcn_stat_equal,9,43.44444444444444,47.0,10.0,50.0
Store Item,tcn_stat_placebo,9,46.22222222222222,48.0,38.0,50.0
Store Item,tcn_target_only,9,24.555555555555557,25.0,7.0,50.0
Store Item,timemixerpp,9,36.0,41.0,22.0,48.0
