experiment_version,full_run_task_id,execution_stage,dataset,forecast_origin,model_id,graph_mode,seed,RMSSE,WAPE,MAE,prediction_rows,selected_epoch,selected_trees,leakage_check_passed,checkpoint_reload_passed,prediction_shape_passed,finite_output_passed,graph_export_passed,config_sha256,data_slice_sha256,node_ids_sha256
FULL_UNIFIED_RUN_V1,v1_0001_m5_20151207_seasonal_naive_s13,stage_2,M5,2015-12-07,seasonal_naive,none,13,0.7920674157770485,1.3893379678245867,2.5234126721109664,2520,,,True,True,True,True,True,e6a9759eec74735c27f556ca1b69d374f5ed9b8062cf2b075e198f1be3af6aff,24f14f88e9945d2a7fb67744b119a74daf41bf279d2a3b941fb03feff77657e4,0fdc80620cf8962630e75c1fa2432803a694bdd75347ebc77b3093fc02c15c5f
FULL_UNIFIED_RUN_V1,v1_0002_m5_20160104_seasonal_naive_s13,stage_2,M5,2016-01-04,seasonal_naive,none,13,0.6639441430569958,0.900772973272503,3.976984203051007,2520,,,True,True,True,True,True,9ec15a6ac928218108735a98b6e7a1f914d8089bb08dc40786788d3af3ad1074,f363d22b50ee5ecf935d764748129bbf4e83b2417ab50854a465cae0c12fccbf,0fdc80620cf8962630e75c1fa2432803a694bdd75347ebc77b3093fc02c15c5f
FULL_UNIFIED_RUN_V1,v1_0003_m5_20160201_seasonal_naive_s13,stage_2,M5,2016-02-01,seasonal_naive,none,13,0.8666454011604331,0.5151603126480464,2.8182540272909495,2520,,,True,True,True,True,True,2ef3454da0229e133a990a306c9a3a480f93c790a1d37be32fe30819ed28848a,84ec5e1a462241b724bdb52169726ffe86647b20efbad04d01b949a8b9fc2a01,0fdc80620cf8962630e75c1fa2432803a694bdd75347ebc77b3093fc02c15c5f
FULL_UNIFIED_RUN_V1,v1_0004_favorita_20170301_seasonal_naive_s13,stage_2,Favorita,2017-03-01,seasonal_naive,none,13,0.8165322114824081,0.5238278676819196,11.881746503852662,2520,,,True,True,True,True,True,90230acaa09332c2fd5a95ca4d8e553d7c47c8e41b0816e769b73504a065e364,cd0beeec37632daa955a38f9eba4e42ab5553d9daac470a0028c402132af43b1,99f53feff701ca0e8ddb39eaf4c2384b14067b4e69669a6d805e4efea668fb19
FULL_UNIFIED_RUN_V1,v1_0005_favorita_20170329_seasonal_naive_s13,stage_2,Favorita,2017-03-29,seasonal_naive,none,13,1.0018225178442666,0.45825325693791924,10.219047858979966,2520,,,True,True,True,True,True,54be18f219c51ddc770a171f37b9ebc97949c9637f6ff2a0b1ffc80ec3a33528,345dabcf47b0f7e1fb1895e4c61f5d5ebffaa56e09a9f5b2d7896f439c70937b,99f53feff701ca0e8ddb39eaf4c2384b14067b4e69669a6d805e4efea668fb19
FULL_UNIFIED_RUN_V1,v1_0006_favorita_20170426_seasonal_naive_s13,stage_2,Favorita,2017-04-26,seasonal_naive,none,13,0.899880608662311,0.5222007886976636,11.065476443464794,2520,,,True,True,True,True,True,f34f531077b61f0ed30d936895f02542b7ff579f13025e0803005a51f65142f2,c488ebe713d35972ff5a908aa6c2090b4ea444972f31abbf215c0d17998dda91,99f53feff701ca0e8ddb39eaf4c2384b14067b4e69669a6d805e4efea668fb19
FULL_UNIFIED_RUN_V1,v1_0007_store_item_20170522_seasonal_naive_s13,stage_2,Store Item,2017-05-22,seasonal_naive,none,13,0.8877201483509353,0.14379350315951786,9.140873196768382,2520,,,True,True,True,True,True,9865da6aaf46dbb0cd419a9c20e42aab847f590832881e9e9f3823c9a492728c,96f573b570f1b2d301538d41f90dacef49f3190e6f15d4c0105641fefebfcd31,99f53feff701ca0e8ddb39eaf4c2384b14067b4e69669a6d805e4efea668fb19
FULL_UNIFIED_RUN_V1,v1_0008_store_item_20170619_seasonal_naive_s13,stage_2,Store Item,2017-06-19,seasonal_naive,none,13,0.9305551280262089,0.139015348854143,9.378571360073392,2520,,,True,True,True,True,True,4f77d20f5094dd691be584683fef1824d7f2b94b60c35c1778369098c642a971,28beca4732b3f14a100f847605d2098885a415ba97668113a3ccce044ffb107d,99f53feff701ca0e8ddb39eaf4c2384b14067b4e69669a6d805e4efea668fb19
FULL_UNIFIED_RUN_V1,v1_0009_store_item_20170717_seasonal_naive_s13,stage_2,Store Item,2017-07-17,seasonal_naive,none,13,1.008393053804831,0.15758045285243555,10.325396818584865,2520,,,True,True,True,True,True,21a23ca6456026a3ec2d5bef731b11fdbc84e741451f728ed1f803157ea4fb69,cb704e15bf73a80e87151fc7a786498308b0888b5b69c93a6c61d1fdd789036d,99f53feff701ca0e8ddb39eaf4c2384b14067b4e69669a6d805e4efea668fb19
FULL_UNIFIED_RUN_V1,v1_0010_m5_20151207_global_lightgbm_s13,stage_2,M5,2015-12-07,global_lightgbm,none,13,0.8682462922492474,2.3903127108443316,4.341452925451218,2520,,25.0,True,True,True,True,True,193ef103c54c766d35057c2a1a4bc0f5866319ab20f4156783fe6cd6d7a3388e,24f14f88e9945d2a7fb67744b119a74daf41bf279d2a3b941fb03feff77657e4,0fdc80620cf8962630e75c1fa2432803a694bdd75347ebc77b3093fc02c15c5f
