dataset,model_id,coverage_median,coverage_min,weighted_jaccard_median,weighted_jaccard_min,graphs,integrity_passed
Favorita,gts_native,1.0,0.8555555555555555,0.3934655040502548,0.17293588817119598,9,True
Favorita,mage_native,1.0,1.0,0.5816919803619385,0.48302319645881653,9,True
Favorita,mtgnn_native,1.0,1.0,0.12764325737953186,0.11558104306459427,9,True
Favorita,semantic_knn_tcn,1.0,1.0,1.0,1.0,9,True
Favorita,tcn_business,1.0,1.0,0.7508769333362579,0.6746575236320496,9,True
Favorita,tcn_stat_confidence,1.0,1.0,0.7508769333362579,0.6746575236320496,9,True
M5,gts_native,1.0,0.8666666666666667,0.3139891177415848,0.096887968480587,9,True
M5,mage_native,1.0,1.0,0.5042871981859207,0.356797993183136,9,True
M5,mtgnn_native,1.0,1.0,0.1252143383026123,0.1122421994805336,9,True
M5,semantic_knn_tcn,1.0,1.0,1.0,1.0,9,True
M5,tcn_business,1.0,1.0,0.9933774769306183,0.9867549538612366,9,True
M5,tcn_stat_confidence,1.0,1.0,0.9933774769306183,0.9867549538612366,9,True
Store Item,gts_native,1.0,1.0,0.7263363003730774,0.6654884815216064,9,True
Store Item,mage_native,1.0,1.0,0.853172093629837,0.4930418133735657,9,True
Store Item,mtgnn_native,1.0,1.0,0.12640640512108803,0.11042340099811554,9,True
Store Item,tcn_business,1.0,1.0,0.950164794921875,0.9396551847457886,9,True
Store Item,tcn_stat_confidence,1.0,1.0,0.950164794921875,0.9396551847457886,9,True
