task_id,dataset,forecast_origin,seed,model_id,coverage,offdiag_edges,matrix_sha256
v1_0046_m5_20151207_tcn_business_s13,M5,2015-12-07,13,tcn_business,1.0,450,237ccec2fbbd6ea399af473deaf809ba587f8f64c46116df28ac8dfbf418f35e
v1_0047_m5_20151207_tcn_business_s29,M5,2015-12-07,29,tcn_business,1.0,450,237ccec2fbbd6ea399af473deaf809ba587f8f64c46116df28ac8dfbf418f35e
v1_0048_m5_20151207_tcn_business_s47,M5,2015-12-07,47,tcn_business,1.0,450,237ccec2fbbd6ea399af473deaf809ba587f8f64c46116df28ac8dfbf418f35e
v1_0049_m5_20160104_tcn_business_s13,M5,2016-01-04,13,tcn_business,1.0,450,27aa605ea25a8776e56b2844b3551bac99b86a54abe6176f1fdedc67bf1c8c9b
v1_0050_m5_20160104_tcn_business_s29,M5,2016-01-04,29,tcn_business,1.0,450,27aa605ea25a8776e56b2844b3551bac99b86a54abe6176f1fdedc67bf1c8c9b
v1_0051_m5_20160104_tcn_business_s47,M5,2016-01-04,47,tcn_business,1.0,450,27aa605ea25a8776e56b2844b3551bac99b86a54abe6176f1fdedc67bf1c8c9b
v1_0052_m5_20160201_tcn_business_s13,M5,2016-02-01,13,tcn_business,1.0,450,27aa605ea25a8776e56b2844b3551bac99b86a54abe6176f1fdedc67bf1c8c9b
v1_0053_m5_20160201_tcn_business_s29,M5,2016-02-01,29,tcn_business,1.0,450,27aa605ea25a8776e56b2844b3551bac99b86a54abe6176f1fdedc67bf1c8c9b
v1_0054_m5_20160201_tcn_business_s47,M5,2016-02-01,47,tcn_business,1.0,450,27aa605ea25a8776e56b2844b3551bac99b86a54abe6176f1fdedc67bf1c8c9b
v1_0055_favorita_20170301_tcn_business_s13,Favorita,2017-03-01,13,tcn_business,1.0,488,3d6565e1d734fd9a5dea56ad869d3e3a310159d5d83144a2c1c25169309e319b
v1_0056_favorita_20170301_tcn_business_s29,Favorita,2017-03-01,29,tcn_business,1.0,488,3d6565e1d734fd9a5dea56ad869d3e3a310159d5d83144a2c1c25169309e319b
v1_0057_favorita_20170301_tcn_business_s47,Favorita,2017-03-01,47,tcn_business,1.0,488,3d6565e1d734fd9a5dea56ad869d3e3a310159d5d83144a2c1c25169309e319b
v1_0058_favorita_20170329_tcn_business_s13,Favorita,2017-03-29,13,tcn_business,1.0,486,6c66febe6270f1101fe68312b95184d6558449773403aa425fde8ef2c0e3a38b
v1_0059_favorita_20170329_tcn_business_s29,Favorita,2017-03-29,29,tcn_business,1.0,486,6c66febe6270f1101fe68312b95184d6558449773403aa425fde8ef2c0e3a38b
v1_0060_favorita_20170329_tcn_business_s47,Favorita,2017-03-29,47,tcn_business,1.0,486,6c66febe6270f1101fe68312b95184d6558449773403aa425fde8ef2c0e3a38b
v1_0061_favorita_20170426_tcn_business_s13,Favorita,2017-04-26,13,tcn_business,1.0,490,8d179bcaeb255db7d4d7c9472d1f7cdce324ad76ac4352b1eba306b5736d0c78
v1_0062_favorita_20170426_tcn_business_s29,Favorita,2017-04-26,29,tcn_business,1.0,490,8d179bcaeb255db7d4d7c9472d1f7cdce324ad76ac4352b1eba306b5736d0c78
v1_0063_favorita_20170426_tcn_business_s47,Favorita,2017-04-26,47,tcn_business,1.0,490,8d179bcaeb255db7d4d7c9472d1f7cdce324ad76ac4352b1eba306b5736d0c78
v1_0064_store_item_20170522_tcn_business_s13,Store Item,2017-05-22,13,tcn_business,1.0,450,0a5ab21a602b06de0be39cef52dccbe0a48d4951f93651e45e6bb08934145eb2
v1_0065_store_item_20170522_tcn_business_s29,Store Item,2017-05-22,29,tcn_business,1.0,450,0a5ab21a602b06de0be39cef52dccbe0a48d4951f93651e45e6bb08934145eb2
v1_0066_store_item_20170522_tcn_business_s47,Store Item,2017-05-22,47,tcn_business,1.0,450,0a5ab21a602b06de0be39cef52dccbe0a48d4951f93651e45e6bb08934145eb2
v1_0067_store_item_20170619_tcn_business_s13,Store Item,2017-06-19,13,tcn_business,1.0,450,2f26f301d7053aa299ee7bbadbb6015686bbed92508faef7a1902ff449843876
