dataset,model_id,horizon_step,MAE,WAPE
Favorita,dlinear,1,7.823948284762876,0.42160096375624584
Favorita,dlinear,2,7.439069359501202,0.43255849633661003
Favorita,dlinear,3,8.765196917822331,0.38274708961867093
Favorita,dlinear,4,13.604006245106827,0.4236046187835376
Favorita,dlinear,5,13.304007717856654,0.427399263417808
Favorita,dlinear,6,12.234893150020529,0.4897726695895238
Favorita,dlinear,7,7.593837363999567,0.4117677744579794
Favorita,dlinear,8,7.0811833400785185,0.35007209394110567
Favorita,dlinear,9,7.181128267005637,0.392906249807375
Favorita,dlinear,10,9.049213738647508,0.48006024466414193
Favorita,dlinear,11,10.449884958473252,0.39537887528420307
Favorita,dlinear,12,16.838392424289093,0.44804735773908416
Favorita,dlinear,13,7.386883551397442,0.40580985841004735
Favorita,dlinear,14,6.335729175732459,0.4048793778599477
Favorita,dlinear,15,8.368293659186657,0.4830267423653539
Favorita,dlinear,16,8.885246691144543,0.5171670358161642
Favorita,dlinear,17,8.440327534999376,0.4185995576525533
Favorita,dlinear,18,8.860895232212396,0.3034176589666224
Favorita,dlinear,19,12.788531224374417,0.4256735479024785
Favorita,dlinear,20,7.995008058018154,0.4100403491704234
Favorita,dlinear,21,8.000149563801141,0.47512876408823995
Favorita,dlinear,22,9.126003341027248,0.45168628667036537
Favorita,dlinear,23,6.983956348528096,0.470519216243911
Favorita,dlinear,24,8.930453425719413,0.47502933411693493
Favorita,dlinear,25,9.234515413678723,0.3451272642314679
Favorita,dlinear,26,16.66926561034756,0.43694554775733996
Favorita,dlinear,27,7.556149675080807,0.4500452063404858
Favorita,dlinear,28,6.116473022213689,0.4338586384731331
Favorita,global_lightgbm,1,7.102382886851275,0.3843885505216518
Favorita,global_lightgbm,2,7.390407526934588,0.42591625095996516
Favorita,global_lightgbm,3,9.537976891023142,0.4173825825032463
Favorita,global_lightgbm,4,13.874060565453988,0.42818533933985065
Favorita,global_lightgbm,5,13.062988526732836,0.4226279073369503
Favorita,global_lightgbm,6,12.114908160103694,0.4904125243964839
Favorita,global_lightgbm,7,9.295635503447718,0.5038485456439674
Favorita,global_lightgbm,8,6.944140169355605,0.3440189394338133
Favorita,global_lightgbm,9,8.501806758068227,0.46920841511977884
Favorita,global_lightgbm,10,7.445365662044949,0.3980186168363855
Favorita,global_lightgbm,11,9.564489717836734,0.36259942788415617
Favorita,global_lightgbm,12,15.681943930519955,0.4169328550328741
Favorita,global_lightgbm,13,8.176002958085801,0.4498137366186179
Favorita,global_lightgbm,14,7.433777234289381,0.4746451271543592
Favorita,global_lightgbm,15,8.07048599101879,0.4625394676006462
Favorita,global_lightgbm,16,8.811422944068909,0.5037163983892231
Favorita,global_lightgbm,17,9.23001826427601,0.45961460496220813
Favorita,global_lightgbm,18,10.652240972165709,0.3645764629351085
Favorita,global_lightgbm,19,11.862820899045026,0.40065954067710896
Favorita,global_lightgbm,20,8.558650359400996,0.43968909395064254
Favorita,global_lightgbm,21,8.925376092063056,0.5290471886100463
Favorita,global_lightgbm,22,8.926646117810849,0.4436469292219873
Favorita,global_lightgbm,23,7.295105320435983,0.4912598470917941
Favorita,global_lightgbm,24,9.111754235514889,0.4826374216757239
Favorita,global_lightgbm,25,10.5227362703394,0.39769433122898623
Favorita,global_lightgbm,26,17.11340818581758,0.45134299054744026
Favorita,global_lightgbm,27,10.46034522233186,0.6251846268425819
Favorita,global_lightgbm,28,6.744424798753527,0.480348217393653
Favorita,gts_native,1,10.160691511521208,0.5369500277361033
Favorita,gts_native,2,9.556105446753978,0.5483432134842642
Favorita,gts_native,3,13.28513265100371,0.5791431954290716
Favorita,gts_native,4,20.43107177482481,0.6182920135275952
Favorita,gts_native,5,19.705805195674852,0.6288803971811804
Favorita,gts_native,6,14.863008386839503,0.5902116739915922
Favorita,gts_native,7,10.003623806133314,0.5420743923291695
Favorita,gts_native,8,11.17264791271753,0.5546665050078885
Favorita,gts_native,9,11.136357913690585,0.609503265841358
Favorita,gts_native,10,10.874771793974983,0.5791815336627977
Favorita,gts_native,11,16.243278041277886,0.6149409324102482
Favorita,gts_native,12,26.241753185786493,0.7055218983404896
Favorita,gts_native,13,10.710620285438397,0.5864960601779404
Favorita,gts_native,14,8.842858321408247,0.5641324651428083
Favorita,gts_native,15,9.509606792223583,0.5412326893467394
Favorita,gts_native,16,10.783757229549465,0.6153085664779671
Favorita,gts_native,17,12.289137246965627,0.5921600059648405
Favorita,gts_native,18,19.06755510955865,0.6553285222284805
Favorita,gts_native,19,19.565066384222867,0.6594921656241637
Favorita,gts_native,20,11.182568065704848,0.5691352853092342
Favorita,gts_native,21,9.81586030314872,0.5664171471847619
Favorita,gts_native,22,11.801765543125846,0.5881771511913244
Favorita,gts_native,23,8.740457698730406,0.5883056059640284
Favorita,gts_native,24,11.23342029987202,0.5923430486906
Favorita,gts_native,25,16.389735733855655,0.6155689231542283
Favorita,gts_native,26,26.332872950239683,0.7036835595471151
Favorita,gts_native,27,9.326592946760817,0.5568120001975881
Favorita,gts_native,28,7.857913596868331,0.5547241463512963
Favorita,gts_no_graph,1,8.4182389870286,0.4450894689854245
Favorita,gts_no_graph,2,7.450992447199921,0.4283643961262211
Favorita,gts_no_graph,3,10.227945133733254,0.44708911984421346
Favorita,gts_no_graph,4,16.584709671304136,0.4924125683709608
Favorita,gts_no_graph,5,16.150267795277877,0.5128980614583893
Favorita,gts_no_graph,6,11.6711053982653,0.4584629271070548
Favorita,gts_no_graph,7,7.588861159593971,0.41171358165882294
Favorita,gts_no_graph,8,8.044231516536739,0.3977550780410544
Favorita,gts_no_graph,9,8.949199510853232,0.4892464999611675
Favorita,gts_no_graph,10,8.099905089683899,0.4329178408658423
Favorita,gts_no_graph,11,12.921844146294909,0.4891833567712869
Favorita,gts_no_graph,12,22.455736824736736,0.6030921705078657
Favorita,gts_no_graph,13,7.646158454562595,0.41858725057435986
Favorita,gts_no_graph,14,7.274991286412618,0.46400322947872563
Favorita,gts_no_graph,15,7.673446619625628,0.44116409047935257
Favorita,gts_no_graph,16,8.011438776023777,0.4605662787785806
Favorita,gts_no_graph,17,9.607442860158137,0.467227921012059
Favorita,gts_no_graph,18,14.953175625931701,0.5135323839167605
Favorita,gts_no_graph,19,15.687533670847797,0.5281141033793719
Favorita,gts_no_graph,20,8.214032184139446,0.41870689878962514
Favorita,gts_no_graph,21,7.886227630538705,0.45881439394460916
Favorita,gts_no_graph,22,9.038000077340337,0.4509920640055187
Favorita,gts_no_graph,23,7.603324339796363,0.5125561544469721
Favorita,gts_no_graph,24,8.614351729616338,0.45269195274042495
Favorita,gts_no_graph,25,12.297958411863304,0.4617518249668999
Favorita,gts_no_graph,26,22.310336208582658,0.5850431602553501
Favorita,gts_no_graph,27,7.593666976745482,0.45366761283184726
Favorita,gts_no_graph,28,6.005287962820795,0.4303498297247485
Favorita,gts_placebo,1,9.274511150776604,0.48796752464504717
Favorita,gts_placebo,2,8.976404327717553,0.5176942741745932
Favorita,gts_placebo,3,12.296925328161429,0.5368245271510299
Favorita,gts_placebo,4,19.285066232296785,0.584872056529925
Favorita,gts_placebo,5,18.74187809923365,0.596333003668499
Favorita,gts_placebo,6,13.876443563669596,0.540963934954745
Favorita,gts_placebo,7,9.197996530387504,0.4991990072557449
Favorita,gts_placebo,8,10.328893174212656,0.5107239401199354
Favorita,gts_placebo,9,10.334385760717186,0.5630706726923588
Favorita,gts_placebo,10,9.866276652016388,0.52570409390876
Favorita,gts_placebo,11,15.210065875211617,0.5754116904330123
Favorita,gts_placebo,12,25.260152428468434,0.6770527527781902
Favorita,gts_placebo,13,10.07100648411814,0.5452585349522758
Favorita,gts_placebo,14,8.452215657970742,0.5387359631251013
Favorita,gts_placebo,15,8.508964023412561,0.4850445865997924
Favorita,gts_placebo,16,9.774972462787488,0.5610520816317844
Favorita,gts_placebo,17,11.448062503057313,0.5500483256361426
Favorita,gts_placebo,18,18.025327477788114,0.6172741752831494
Favorita,gts_placebo,19,18.901301224768897,0.6378628295260038
Favorita,gts_placebo,20,10.68589177292622,0.5457780389784874
Favorita,gts_placebo,21,9.323623138224638,0.5435263225972856
Favorita,gts_placebo,22,11.243977362092261,0.5595616437822488
Favorita,gts_placebo,23,8.182687072087953,0.5518700297049128
Favorita,gts_placebo,24,10.483551118991993,0.5526875534763891
Favorita,gts_placebo,25,15.778562710222637,0.5926437255132813
Favorita,gts_placebo,26,25.676595747010943,0.6865359691179319
Favorita,gts_placebo,27,8.945806069157006,0.5332286435677887
Favorita,gts_placebo,28,7.125775994783567,0.5053321176649336
Favorita,itransformer,1,8.001739144067706,0.42468834394051846
Favorita,itransformer,2,8.132199643754666,0.46874277451371593
Favorita,itransformer,3,9.969984704329644,0.43535371237461895
Favorita,itransformer,4,15.77133773300383,0.4788763229901833
Favorita,itransformer,5,13.960765429963299,0.4390373834056098
Favorita,itransformer,6,13.249053541488118,0.5204750344730547
Favorita,itransformer,7,8.385633701674733,0.45509134793430206
Favorita,itransformer,8,7.192660396628909,0.3548906074059812
Favorita,itransformer,9,9.306752184346134,0.5081651319238305
Favorita,itransformer,10,8.01716316173106,0.42628031363121316
Favorita,itransformer,11,10.815360137709865,0.4082331127623837
Favorita,itransformer,12,16.689033033965547,0.44225205221863906
Favorita,itransformer,13,7.978627986819656,0.4312134291741719
Favorita,itransformer,14,7.538765450392241,0.48064525288328874
