dataset,model_id,RMSSE_seed_sd,WAPE_seed_sd,MAE_seed_sd
Favorita,dlinear,0.006044780257565508,0.006783512528215839,0.15894603469040122
Favorita,global_lightgbm,,,
Favorita,gts_native,0.03599898123142877,0.060654004237844346,1.3436895079672286
Favorita,gts_no_graph,0.0035012175316685035,0.01906959344733704,0.42709129666911105
Favorita,gts_placebo,0.033509373886406874,0.06646594931704262,1.493573810176973
Favorita,itransformer,0.031125089793859646,0.040190916909927744,0.8936873807601633
Favorita,mage_native,0.0020740136280632503,0.010173820084489004,0.22785267908248732
Favorita,mage_no_graph,0.005401464663018864,0.006143472834872294,0.1441544527817478
Favorita,mage_placebo,0.005324539149573694,0.004058962691712849,0.08843701026387647
Favorita,metadata_embedding_tcn,0.011508061387186573,0.03540425739925958,0.7831507475760002
Favorita,mixlinear,0.002220620978376163,0.0018791602988207008,0.04231666705574818
Favorita,mtgnn_native,0.0034811788285423815,0.01131850496394468,0.2607515820543382
Favorita,mtgnn_no_graph,0.01050887023069707,0.020761395667685204,0.46589967366291046
Favorita,mtgnn_placebo,0.0023601654051536606,0.006131781216877708,0.1361803020591773
Favorita,nlinear,0.014479244014628887,0.011588872932197748,0.25888873039355814
Favorita,patchtst,0.026413552463319733,0.018253107518469886,0.4128585058257471
Favorita,seasonal_naive,,,
Favorita,semantic_knn_tcn,0.006228495808162079,0.0013148000853180448,0.023233158101546757
Favorita,semantic_placebo_tcn,0.00585260245065242,0.014250584894664003,0.30401054833107344
Favorita,tcn_business,0.007895016515055149,0.026350741848197544,0.5916871970765515
Favorita,tcn_no_graph,0.03926601236261053,0.045037645376348134,1.040133397717475
Favorita,tcn_stat_confidence,0.025870203784841294,0.02699611885553892,0.5943020488002153
Favorita,tcn_stat_equal,0.01855843079905497,0.01733515901532615,0.39418307083390547
Favorita,tcn_stat_placebo,0.028904724761062678,0.01849656206225277,0.39928150781573396
Favorita,tcn_target_only,0.006802868387508329,0.01575609427962898,0.34787377845412537
Favorita,timemixerpp,0.011947241032048762,0.014270771511717833,0.3202402260463447
M5,dlinear,0.0032101423947449585,0.01243998083118991,0.013186617575948741
M5,global_lightgbm,,,
M5,gts_native,0.009265163204869921,0.040623703215062736,0.030527425215920986
M5,gts_no_graph,0.006764449351156622,0.037417433767812085,0.08251877427237875
M5,gts_placebo,0.01746508726820651,0.012826815054100785,0.07856603854367032
M5,itransformer,0.007027235512079161,0.03955240354089631,0.1881380587520555
M5,mage_native,0.0028278503836186115,0.03257166571602611,0.033945142797089926
M5,mage_no_graph,0.00889918730522271,0.034322565727233995,0.11127299241863164
M5,mage_placebo,0.0024579462720674262,0.04058730312878028,0.07897007695118498
M5,metadata_embedding_tcn,0.008144373709741573,0.02166203254974961,0.12957709963771732
M5,mixlinear,0.010161573015640513,0.0868194372543938,0.24431521053527142
M5,mtgnn_native,0.003719382240483426,0.04168824389337912,0.04055863128774245
M5,mtgnn_no_graph,0.005499075968270358,0.08872735842658126,0.16472956918946838
M5,mtgnn_placebo,0.005534530946542333,0.023566166471885246,0.050608901912043265
M5,nlinear,0.00923264331033818,0.009657064464425689,0.025013969687896716
M5,patchtst,0.009325581904841463,0.015205087095186955,0.0667609470186894
M5,seasonal_naive,,,
M5,semantic_knn_tcn,0.013198916011661524,0.017782256970245134,0.06436906517824655
M5,semantic_placebo_tcn,0.009673892475205063,0.02835929987927635,0.06566175368700851
M5,tcn_business,0.005810393630062552,0.014181782503725695,0.013431968369492087
M5,tcn_no_graph,0.024696277723886686,0.06895686244677071,0.26621496909574455
M5,tcn_stat_confidence,0.011776603245734724,0.02213301064309227,0.07673439903892189
M5,tcn_stat_equal,0.042397809931187455,0.15732692641894597,0.6797791244253821
M5,tcn_stat_placebo,0.03201957172230951,0.06463035276651198,0.33145065539341967
M5,tcn_target_only,0.032588921332646216,0.08011570354100156,0.26417977115819435
M5,timemixerpp,0.005858838638787503,0.06361005198404862,0.2225653051537116
Store Item,dlinear,0.04626553611917099,0.009055303608131627,0.5995952999881953
Store Item,global_lightgbm,,,
Store Item,gts_native,0.06759979261182203,0.01610995748601104,1.0845199946974735
Store Item,gts_no_graph,0.035306322511492426,0.006900995152527054,0.45111729146036017
Store Item,gts_placebo,0.46848097006257433,0.1010263911472755,6.612726974558316
Store Item,itransformer,0.2835440034057836,0.05521650137184197,3.5923800981827134
Store Item,mage_native,0.030387596297820185,0.005481958304422302,0.36744481149947583
Store Item,mage_no_graph,0.035017197728962626,0.0061769919023486625,0.4057951323966782
Store Item,mage_placebo,0.030432207999208403,0.005491345560067269,0.368080997536224
Store Item,mixlinear,0.004007396828371111,0.00078972038516475,0.05224348242401046
Store Item,mtgnn_native,0.1980592749062194,0.04215876333017207,2.8226775690370336
Store Item,mtgnn_no_graph,0.18076912572457854,0.04083397280594365,2.749232661663582
Store Item,mtgnn_placebo,0.07674182410602787,0.018334519378927376,1.2060649192730237
Store Item,nlinear,0.041087441825403165,0.006761864725778556,0.44192356635059843
Store Item,patchtst,0.08415620761962453,0.015041465681388533,1.0013173963512665
Store Item,seasonal_naive,,,
Store Item,tcn_business,0.07944170249747143,0.014714984163339193,0.9772021735973321
Store Item,tcn_no_graph,0.07482741706830416,0.01339586361746669,0.8834331258036661
Store Item,tcn_stat_confidence,0.05771031769973134,0.015915236333752834,1.0055320279896887
Store Item,tcn_stat_equal,0.11263519101261336,0.026560758217199946,1.7203639900878749
Store Item,tcn_stat_placebo,0.033694700252812924,0.007018673285474036,0.4564111109990297
Store Item,tcn_target_only,0.10479954600436349,0.02462999681213138,1.563845526390825
Store Item,timemixerpp,0.024617903592948798,0.003948490422325173,0.260088116927716
