dataset,candidate,evaluability,reliability,reliability_pass,graph_outcome,weight_outcome,topology_outcome,qualification,graph_delta,graph_ci_low,graph_ci_high,graph_favorable_origins,weight_delta,weight_ci_low,weight_ci_high,weight_favorable_origins,topology_delta,topology_ci_low,topology_ci_high,topology_favorable_origins
M5,tcn_business,1.0,fixed-map integrity,True,uncertain,not_computed,not_computed,evidence incomplete: utility,-0.00271983743756605,-0.011908031676163182,0.005145331752573641,1.0,,,,,,,,
M5,tcn_stat_confidence,1.0,"c=1.00, J=0.99",True,fail,uncertain,uncertain,failed: utility,-0.019826261460650214,-0.029748879574026887,-0.010750364068590609,0.0,0.019990661180936262,-0.007249378317418281,0.06338252945252447,2.0,-0.006726999637458935,-0.018543753540794707,0.006849638459852747,0.0
M5,gts_native,1.0,"c=1.00, J=0.31",False,fail,not_computed,fail,failed: reliability,-0.05422029215445093,-0.06684586175038089,-0.0430527382779572,0.0,,,,,-0.023710637989973485,-0.03352188736718829,-0.013958128135531949,0.0
M5,mtgnn_native,1.0,"c=1.00, J=0.13",False,uncertain,not_computed,uncertain,failed: reliability,-0.003057893157303469,-0.009225449221569126,0.003081686712731198,1.0,,,,,0.0008929055281488209,-0.0044933658414103884,0.006878579751441019,2.0
M5,mage_native,1.0,"c=1.00, J=0.50",True,pass,not_computed,fail,failed: specificity,0.008413544972720259,0.0032499581043000584,0.013656082747849149,3.0,,,,,-0.003043183892758759,-0.004398894269128288,-0.0018023942134650604,1.0
M5,semantic_knn_tcn,1.0,fixed-map integrity,True,uncertain,not_computed,pass,evidence incomplete: utility,0.0031507837382992454,-0.0018618188737405963,0.007889574957516503,2.0,,,,,0.010069469929606691,0.005158088761695232,0.015280921056399104,3.0
Favorita,tcn_business,1.0,fixed-map integrity,True,pass,not_computed,not_computed,evidence incomplete: topology,0.02488363326073714,0.004938172132605173,0.04489285936886021,3.0,,,,,,,,
Favorita,tcn_stat_confidence,1.0,"c=1.00, J=0.75",True,pass,fail,pass,qualified,0.03665694827157962,0.017270172982880146,0.05728701822675484,3.0,-0.0057068019471332235,-0.010614933936078744,-0.0011997502777300996,0.0,0.018495734519944733,0.006346262779981311,0.030188980608789696,2.0
Favorita,gts_native,1.0,"c=1.00, J=0.39",False,fail,not_computed,fail,failed: reliability,-0.06516327466449058,-0.0776286996161569,-0.05351795068064889,0.0,,,,,-0.029007530470726257,-0.04258423806837749,-0.015810717430504412,0.0
Favorita,mtgnn_native,1.0,"c=1.00, J=0.13",False,uncertain,not_computed,uncertain,failed: reliability,-0.003711298051128889,-0.007631943584264072,0.00017657900714474286,1.0,,,,,-0.00019363634643494864,-0.0038148825252956615,0.0032401154856371178,2.0
Favorita,mage_native,1.0,"c=1.00, J=0.58",True,fail,not_computed,fail,failed: utility,-0.004252966492665871,-0.008279184789397875,-0.00039430734947173106,0.0,,,,,-0.003906131564838057,-0.005109081230612126,-0.0027620739541595603,0.0
Favorita,semantic_knn_tcn,1.0,fixed-map integrity,True,uncertain,not_computed,pass,evidence incomplete: utility,-0.006387502148655741,-0.013249247019569112,0.0009093274996558081,1.0,,,,,0.014525859576980014,0.006904890163665883,0.022588845111794775,3.0
Store Item,tcn_business,1.0,fixed-map integrity,True,fail,not_computed,not_computed,failed: utility,-0.07171931091283207,-0.08946793133584997,-0.05398907619453498,1.0,,,,,,,,
Store Item,tcn_stat_confidence,1.0,"c=1.00, J=0.95",True,fail,uncertain,fail,failed: utility,-0.024401304618087493,-0.043688700425754394,-0.00483772708090789,2.0,0.014824704062211697,0.006404014211471102,0.023203844488245015,1.0,-0.057758037104191716,-0.07695016225822553,-0.03941583046693119,1.0
Store Item,gts_native,1.0,"c=1.00, J=0.73",True,fail,not_computed,pass,failed: utility,-0.23014202130109493,-0.2586093537684418,-0.20266799407375546,0.0,,,,,0.3558099173260234,0.3117669384249191,0.3993858506827282,3.0
Store Item,mtgnn_native,1.0,"c=1.00, J=0.13",False,pass,not_computed,fail,failed: reliability,0.05659594167153605,0.04580061465364292,0.0665250770604925,2.0,,,,,-0.08745413714267436,-0.10452886239031735,-0.06990518389549662,2.0
Store Item,mage_native,1.0,"c=1.00, J=0.85",True,fail,not_computed,pass,failed: utility,-0.052275345647722404,-0.06167734746928477,-0.042606485974340455,0.0,,,,,5.6312364636994195e-05,1.3436025849934566e-06,0.00011137315571123729,2.0
Store Item,semantic_knn_tcn,,,,,,,not applicable,,,,,,,,,,,,
