"node_index","item_id","store_id"
"0","315179","3"
"1","315179","44"
"2","315179","47"
"3","319272","3"
"4","319272","44"
"5","319272","47"
"6","686034","3"
"7","686034","44"
"8","686034","47"
"9","1047679","3"
"10","1047679","44"
"11","1047679","47"
"12","1047702","3"
"13","1047702","44"
"14","1047702","47"
"15","1047703","3"
"16","1047703","44"
"17","1047703","47"
"18","1047772","3"
"19","1047772","44"
"20","1047772","47"
"21","1047773","3"
"22","1047773","44"
"23","1047773","47"
"24","1062927","3"
"25","1062927","44"
"26","1062927","47"
"27","1463555","3"
"28","1463555","44"
"29","1463555","47"
"30","1463591","3"
"31","1463591","44"
"32","1463591","47"
"33","1463637","3"
"34","1463637","44"
"35","1463637","47"
"36","1463994","3"
"37","1463994","44"
"38","1463994","47"
"39","1464005","3"
"40","1464005","44"
"41","1464005","47"
"42","1464302","3"
"43","1464302","44"
"44","1464302","47"
"45","157956","3"
"46","157956","44"
"47","157956","47"
"48","161288","3"
"49","161288","44"
"50","161288","47"
"51","346065","3"
"52","346065","44"
"53","346065","47"
"54","370042","3"
"55","370042","44"
"56","370042","47"
"57","454596","3"
"58","454596","44"
"59","454596","47"
"60","510055","3"
"61","510055","44"
"62","510055","47"
"63","559682","3"
"64","559682","44"
"65","559682","47"
"66","651523","3"
"67","651523","44"
"68","651523","47"
"69","683720","3"
"70","683720","44"
"71","683720","47"
"72","770511","3"
"73","770511","44"
"74","770511","47"
"75","892076","3"
"76","892076","44"
"77","892076","47"
"78","1062338","3"
"79","1062338","44"
"80","1062338","47"
"81","1105213","3"
"82","1105213","44"
"83","1105213","47"
"84","1166478","3"
"85","1166478","44"
"86","1166478","47"
"87","1342003","3"
"88","1342003","44"
"89","1342003","47"
