"node_index","item_id","store_id"
"0","2","1"
"1","2","5"
"2","2","10"
"3","3","1"
"4","3","5"
"5","3","10"
"6","4","1"
"7","4","5"
"8","4","10"
"9","5","1"
"10","5","5"
"11","5","10"
"12","6","1"
"13","6","5"
"14","6","10"
"15","8","1"
"16","8","5"
"17","8","10"
"18","11","1"
"19","11","5"
"20","11","10"
"21","13","1"
"22","13","5"
"23","13","10"
"24","15","1"
"25","15","5"
"26","15","10"
"27","19","1"
"28","19","5"
"29","19","10"
"30","21","1"
"31","21","5"
"32","21","10"
"33","23","1"
"34","23","5"
"35","23","10"
"36","24","1"
"37","24","5"
"38","24","10"
"39","26","1"
"40","26","5"
"41","26","10"
"42","27","1"
"43","27","5"
"44","27","10"
"45","29","1"
"46","29","5"
"47","29","10"
"48","30","1"
"49","30","5"
"50","30","10"
"51","31","1"
"52","31","5"
"53","31","10"
"54","32","1"
"55","32","5"
"56","32","10"
"57","34","1"
"58","34","5"
"59","34","10"
"60","35","1"
"61","35","5"
"62","35","10"
"63","36","1"
"64","36","5"
"65","36","10"
"66","37","1"
"67","37","5"
"68","37","10"
"69","38","1"
"70","38","5"
"71","38","10"
"72","43","1"
"73","43","5"
"74","43","10"
"75","45","1"
"76","45","5"
"77","45","10"
"78","47","1"
"79","47","5"
"80","47","10"
"81","48","1"
"82","48","5"
"83","48","10"
"84","49","1"
"85","49","5"
"86","49","10"
"87","50","1"
"88","50","5"
"89","50","10"
